id,date,venue_name,race_number,course_in,player_name,move,second_place,lost_to,rank,flow,cabi,kawarizensoku,attack,pressure,block,three_hari,three_makurizashi,two_nokoshi,four_tsubushi,four_nokoshi,st_eval
1,2025-05-14,蒲郡,12,1,池田　　浩二,逃げ,記録なし,,,0,,0,0,0,0,0,0,0,0,0,なし
2,2025-05-14,蒲郡,12,2,吉田　　拡郎,外マイ,,,着外,0,0.0,0,0,0,0,0,0,0,0,0,なし
3,2025-05-14,蒲郡,12,3,新田　　雄史,展開差し・捲り差し,,,2,0,0.0,0,0,0,0,0,0,0,0,0,なし
4,2025-05-14,蒲郡,12,4,深谷　　知博,差し,,,3,0,0.0,0,0,0,0,0,0,0,0,0,なし
5,2025-05-14,蒲郡,12,5,渡邊　雄一郎,叩かれ・捲られ,,,着外,0,0.0,0,0,0,0,0,0,0,0,0,なし
6,2025-05-14,蒲郡,12,6,藤原　　碧生,叩いて捲り差し,,,着外,0,,0,0,0,0,0,0,0,0,0,なし
7,2025-05-13,常滑,1,1,高田　ひかる,逃げ,記録なし,,,0,,0,0,0,0,0,0,0,0,0,なし
8,2025-05-13,常滑,1,2,門田　　　栞,差し,,,着外,1,0.0,0,0,0,0,0,0,0,0,0,なし
9,2025-05-13,常滑,1,3,勝浦　　真帆,後手捲り差し,,,3,0,0.0,0,0,0,0,0,0,0,0,0,なし
10,2025-05-13,常滑,1,4,清水　　愛海,差し,,,2,0,0.0,0,0,0,0,0,0,0,0,0,なし
11,2025-05-13,常滑,1,5,今井　　美亜,外マイ,,,着外,0,0.0,0,0,0,0,0,0,0,0,0,なし
12,2025-05-13,常滑,1,6,高憧　　四季,差し,,,着外,0,,0,0,0,0,0,0,0,0,0,なし
13,2025-05-13,常滑,2,1,深尾　　巴恵,捲り差され,,5,3,0,,0,0,0,0,1,0,0,0,0,なし
14,2025-05-13,常滑,2,2,山川　美由紀,差し,,,着外,0,0.0,0,0,0,0,0,0,0,0,0,なし
15,2025-05-13,常滑,2,3,寺田　　千恵,外マイ,,,2,0,0.0,0,0,0,0,0,0,0,0,0,なし
16,2025-05-13,常滑,2,4,山下　　夏鈴,差し,,,着外,0,0.0,0,0,0,0,0,0,0,0,0,なし
17,2025-05-13,常滑,2,5,西岡　　育未,1-2捲り差し,,,1,0,0.0,0,0,0,0,0,0,0,0,0,なし
18,2025-05-13,常滑,2,6,三浦　　永理,差し,,,着外,0,,0,0,0,0,0,0,0,0,0,なし
19,2025-05-13,常滑,3,1,中田　　夕貴,捲られ,,4,着外,0,,0,0,0,0,0,0,0,0,0,なし
20,2025-05-13,常滑,3,2,武井　莉里佳,捲られ・叩かれ,,,着外,0,0.0,0,0,0,0,0,0,0,0,0,なし
21,2025-05-13,常滑,3,3,刑部　亜里紗,捲られ・叩かれ,,,着外,0,0.0,0,0,0,0,0,0,0,0,0,出遅（外より+0.10）
22,2025-05-13,常滑,3,4,井上　　遥妃,捲り,,,1,0,0.0,0,1,0,0,0,0,0,0,0,抜出（内より-0.10）
23,2025-05-13,常滑,3,5,平高　　奈菜,他艇捲り展開,,,2,0,0.0,0,0,0,0,0,0,0,0,0,なし
24,2025-05-13,常滑,3,6,鎌倉　　　涼,他艇捲り展開,,,3,0,,0,0,0,0,0,0,0,0,0,なし
25,2025-05-13,常滑,4,1,岩崎　　芳美,逃げ,2,,,0,,0,0,0,0,1,0,0,0,0,なし
26,2025-05-13,常滑,4,2,平山　　智加,差し,,,2,0,0.0,0,0,0,0,0,0,0,0,0,なし
27,2025-05-13,常滑,4,3,清水　　沙樹,外マイ,,,着外,0,0.0,0,0,0,0,0,0,0,0,0,なし
28,2025-05-13,常滑,4,4,魚谷　　香織,展開捲り差し・外マイ,,,3,0,0.0,0,0,0,0,0,0,0,0,0,なし
29,2025-05-13,常滑,4,5,長嶋　　万記,1-2捲り差し,,,着外,1,0.0,0,0,0,0,0,0,0,0,0,なし
